data,regiao,categoria,produto,canal,unidades,preco_unitario,receita,custo,lucro,satisfacao
2024-01-01,Centro-Oeste,Casa e Decoração,Vaso Raiz,Loja física,4,597.52,2390.08,1489.75,900.33,4.0
2024-01-01,Sudeste,Casa e Decoração,Cadeira Foco,Loja física,1,382.37,382.37,209.29,173.08,4.0
2024-01-01,Norte,Eletrônicos,Notebook Aura,E-commerce,7,1590.6,11134.2,8738.1,2396.1,3.0
2024-01-01,Sul,Eletrônicos,Tablet Nimbus,E-commerce,5,2068.77,10343.85,8800.13,1543.72,4.6
2024-01-01,Nordeste,Casa e Decoração,Vaso Raiz,E-commerce,2,144.39,288.78,177.4,111.38,4.5
2024-01-02,Nordeste,Eletrônicos,Notebook Aura,Marketplace,5,1857.73,9288.65,8208.69,1079.96,2.3
2024-01-02,Nordeste,Casa e Decoração,Vaso Raiz,E-commerce,2,312.74,625.48,335.16,290.32,5.0
2024-01-02,Norte,Casa e Decoração,Tapete Onda,E-commerce,3,224.12,672.36,393.93,278.43,3.8
2024-01-02,Sudeste,Casa e Decoração,Tapete Onda,E-commerce,4,173.96,695.84,474.33,221.51,2.9
2024-01-03,Sul,Eletrônicos,Tablet Nimbus,E-commerce,5,2428.45,12142.25,10192.88,1949.37,3.6
2024-01-03,Nordeste,Eletrônicos,Notebook Aura,Loja física,3,1802.45,5407.35,4817.74,589.61,4.0
2024-01-03,Sudeste,Casa e Decoração,Cadeira Foco,E-commerce,8,199.7,1597.6,829.74,767.86,3.5
2024-01-03,Nordeste,Alimentos,Granola Cheia,E-commerce,1,76.07,76.07,55.46,20.61,3.6
2024-01-04,Sul,Vestuário,Jaqueta Norte,E-commerce,3,125.88,377.64,211.24,166.4,3.6
2024-01-04,Sudeste,Alimentos,Azeite Oliva,Marketplace,4,29.52,118.08,95.12,22.96,4.5
2024-01-04,Nordeste,Esporte e Lazer,Barraca Cume,E-commerce,3,403.05,1209.15,777.3,431.85,4.1
2024-01-04,Nordeste,Alimentos,Chá Manhã,E-commerce,2,21.74,43.48,33.7,9.78,3.7
2024-01-04,Sudeste,Esporte e Lazer,Barraca Cume,Loja física,8,484.95,3879.6,2463.9,1415.7,3.0
2024-01-04,Sul,Esporte e Lazer,Prancha Maré,E-commerce,3,442.64,1327.92,924.07,403.85,3.9
2024-01-04,Nordeste,Alimentos,Chá Manhã,Loja física,2,57.0,114.0,78.5,35.5,3.3
2024-01-04,Sudeste,Vestuário,Jaqueta Norte,Loja física,2,158.43,316.86,145.53,171.33,3.6
2024-01-04,Sudeste,Esporte e Lazer,Bicicleta Rota,Marketplace,1,415.77,415.77,326.82,88.95,3.9
2024-01-04,Sudeste,Alimentos,Azeite Oliva,E-commerce,5,16.8,84.0,59.18,24.82,3.7
2024-01-04,Sul,Eletrônicos,Notebook Aura,E-commerce,3,1903.13,5709.39,5004.06,705.33,3.6
2024-01-05,Sudeste,Esporte e Lazer,Bicicleta Rota,E-commerce,1,300.72,300.72,221.12,79.6,3.5
2024-01-05,Sudeste,Eletrônicos,Monitor Vista,E-commerce,2,2407.51,4815.02,3630.43,1184.59,3.8
2024-01-05,Centro-Oeste,Eletrônicos,Notebook Aura,Marketplace,1,2597.84,2597.84,2386.19,211.65,2.6
2024-01-05,Sudeste,Alimentos,Granola Cheia,E-commerce,5,68.57,342.85,231.52,111.33,4.1
2024-01-06,Sudeste,Eletrônicos,Tablet Nimbus,E-commerce,2,1409.31,2818.62,2450.89,367.73,4.1
2024-01-06,Nordeste,Casa e Decoração,Luminária Sol,Marketplace,2,400.71,801.42,549.06,252.36,3.8
2024-01-06,Sudeste,Esporte e Lazer,Barraca Cume,Loja física,5,702.12,3510.6,2187.9,1322.7,3.1
2024-01-06,Sul,Casa e Decoração,Luminária Sol,Marketplace,3,434.89,1304.67,841.6,463.07,3.4
2024-01-06,Nordeste,Alimentos,Azeite Oliva,Loja física,5,66.28,331.4,211.76,119.64,4.2
2024-01-06,Sul,Eletrônicos,Notebook Aura,Loja física,3,1878.78,5636.34,4381.61,1254.73,3.6
2024-01-06,Sul,Eletrônicos,Notebook Aura,Loja física,3,2020.7,6062.1,5207.83,854.27,3.9
2024-01-07,Centro-Oeste,Esporte e Lazer,Barraca Cume,Marketplace,2,220.36,440.72,301.45,139.27,4.6
2024-01-07,Norte,Casa e Decoração,Tapete Onda,Marketplace,2,401.4,802.8,500.65,302.15,4.7
2024-01-07,Nordeste,Alimentos,Granola Cheia,Loja física,5,17.06,85.3,64.75,20.55,4.7
2024-01-07,Sul,Alimentos,Azeite Oliva,Loja física,7,26.16,183.12,146.54,36.58,2.9
2024-01-07,Centro-Oeste,Esporte e Lazer,Barraca Cume,Loja física,5,217.61,1088.05,681.48,406.57,4.1
2024-01-08,Sudeste,Casa e Decoração,Cadeira Foco,E-commerce,3,350.26,1050.78,664.73,386.05,3.1
2024-01-08,Centro-Oeste,Esporte e Lazer,Bicicleta Rota,E-commerce,4,463.18,1852.72,1220.75,631.97,4.6
2024-01-08,Sul,Casa e Decoração,Cadeira Foco,Loja física,5,614.06,3070.3,1708.36,1361.94,4.8
2024-01-08,Norte,Esporte e Lazer,Halteres Par,Loja física,3,396.31,1188.93,720.16,468.77,4.5
2024-01-09,Sul,Esporte e Lazer,Halteres Par,E-commerce,4,431.55,1726.2,1086.27,639.93,3.9
2024-01-09,Sudeste,Alimentos,Café Serra,Loja física,3,60.4,181.2,124.95,56.25,3.5
2024-01-09,Norte,Alimentos,Granola Cheia,E-commerce,2,61.91,123.82,86.46,37.36,3.6
2024-01-09,Nordeste,Eletrônicos,Tablet Nimbus,E-commerce,6,1927.22,11563.32,9676.89,1886.43,4.0
2024-01-10,Nordeste,Eletrônicos,Fone Pulse,Marketplace,3,2377.82,7133.46,6592.8,540.66,3.5
2024-01-11,Sudeste,Esporte e Lazer,Bicicleta Rota,Loja física,3,252.1,756.3,518.02,238.28,2.8
2024-01-11,Norte,Eletrônicos,Tablet Nimbus,E-commerce,2,675.21,1350.42,1248.46,101.96,3.1
2024-01-11,Nordeste,Esporte e Lazer,Halteres Par,E-commerce,3,472.61,1417.83,1004.1,413.73,5.0
2024-01-11,Sudeste,Alimentos,Azeite Oliva,Loja física,4,16.8,67.2,49.0,18.2,3.8
2024-01-11,Centro-Oeste,Eletrônicos,Fone Pulse,E-commerce,2,2479.63,4959.26,4291.62,667.64,3.7
2024-01-12,Sudeste,Eletrônicos,Monitor Vista,E-commerce,6,1351.65,8109.9,6820.17,1289.73,3.4
2024-01-12,Sudeste,Alimentos,Chá Manhã,Loja física,5,38.13,190.65,156.76,33.89,3.7
2024-01-13,Nordeste,Vestuário,Calça Trilha,Loja física,3,147.44,442.32,212.95,229.37,2.8
2024-01-13,Nordeste,Eletrônicos,Monitor Vista,Marketplace,3,2209.03,6627.09,6050.82,576.27,4.0
2024-01-13,Norte,Casa e Decoração,Tapete Onda,E-commerce,3,644.06,1932.18,1112.96,819.22,4.0
2024-01-13,Sudeste,Esporte e Lazer,Prancha Maré,E-commerce,6,407.23,2443.38,1488.62,954.76,3.7
2024-01-14,Norte,Casa e Decoração,Luminária Sol,Marketplace,1,417.86,417.86,295.39,122.47,4.7
2024-01-14,Sudeste,Vestuário,Tênis Passo,E-commerce,3,221.65,664.95,298.1,366.85,3.5
2024-01-14,Sul,Eletrônicos,Monitor Vista,Loja física,4,1210.17,4840.68,4012.15,828.53,3.5
2024-01-14,Nordeste,Casa e Decoração,Tapete Onda,E-commerce,4,384.33,1537.32,912.89,624.43,4.8
2024-01-14,Sudeste,Vestuário,Camiseta Base,Loja física,3,142.87,428.61,183.49,245.12,3.7
2024-01-14,Norte,Eletrônicos,Monitor Vista,Marketplace,2,1407.91,2815.82,2450.9,364.92,3.8
2024-01-15,Sul,Vestuário,Calça Trilha,E-commerce,3,161.65,484.95,237.26,247.69,5.0
2024-01-15,Norte,Eletrônicos,Fone Pulse,Marketplace,2,980.6,1961.2,1816.76,144.44,3.9
2024-01-16,Centro-Oeste,Esporte e Lazer,Halteres Par,Loja física,3,581.1,1743.3,1094.65,648.65,4.3
2024-01-16,Sudeste,Casa e Decoração,Vaso Raiz,E-commerce,3,299.9,899.7,492.38,407.32,3.1
2024-01-16,Sudeste,Esporte e Lazer,Prancha Maré,Marketplace,1,389.35,389.35,293.66,95.69,3.4
2024-01-16,Centro-Oeste,Vestuário,Tênis Passo,Loja física,1,132.74,132.74,56.44,76.3,4.6
2024-01-16,Sul,Esporte e Lazer,Bicicleta Rota,E-commerce,2,366.4,732.8,535.72,197.08,4.3
2024-01-16,Sudeste,Esporte e Lazer,Halteres Par,E-commerce,4,548.44,2193.76,1418.8,774.96,3.9
2024-01-17,Sudeste,Eletrônicos,Notebook Aura,E-commerce,1,1324.06,1324.06,993.6,330.46,4.2
2024-01-17,Sul,Vestuário,Jaqueta Norte,Loja física,3,137.98,413.94,187.73,226.21,4.0
2024-01-17,Norte,Alimentos,Chá Manhã,Loja física,2,44.1,88.2,61.25,26.95,4.8
2024-01-17,Nordeste,Vestuário,Camiseta Base,E-commerce,3,100.42,301.26,153.52,147.74,4.9
2024-01-17,Sudeste,Esporte e Lazer,Bicicleta Rota,Loja física,5,433.9,2169.5,1506.22,663.28,4.3
2024-01-17,Nordeste,Casa e Decoração,Vaso Raiz,Loja física,2,233.14,466.28,271.67,194.61,3.8
2024-01-17,Sudeste,Casa e Decoração,Cadeira Foco,E-commerce,8,151.49,1211.92,831.21,380.71,2.7
2024-01-18,Sudeste,Esporte e Lazer,Halteres Par,Loja física,5,585.51,2927.55,1797.51,1130.04,3.8
2024-01-18,Sudeste,Esporte e Lazer,Prancha Maré,Loja física,4,332.61,1330.44,848.95,481.49,2.8
2024-01-18,Sudeste,Alimentos,Chá Manhã,Loja física,2,45.76,91.52,65.3,26.22,4.5
2024-01-18,Sul,Alimentos,Granola Cheia,E-commerce,2,49.69,99.38,76.23,23.15,3.7
2024-01-18,Nordeste,Eletrônicos,Fone Pulse,Marketplace,2,1873.24,3746.48,3566.59,179.89,2.2
2024-01-18,Nordeste,Casa e Decoração,Luminária Sol,E-commerce,6,383.15,2298.9,1410.14,888.76,3.8
2024-01-18,Sul,Alimentos,Azeite Oliva,Loja física,3,46.14,138.42,98.31,40.11,4.2
2024-01-18,Sul,Alimentos,Café Serra,E-commerce,3,75.85,227.55,181.92,45.63,2.7
2024-01-19,Sudeste,Casa e Decoração,Vaso Raiz,E-commerce,5,112.0,560.0,262.45,297.55,4.0
2024-01-19,Sudeste,Casa e Decoração,Vaso Raiz,Loja física,5,463.87,2319.35,1333.53,985.82,3.2
2024-01-19,Centro-Oeste,Vestuário,Camiseta Base,E-commerce,2,211.46,422.92,215.48,207.44,4.8
2024-01-19,Sul,Esporte e Lazer,Barraca Cume,E-commerce,2,500.24,1000.48,586.51,413.97,3.2
2024-01-19,Sudeste,Vestuário,Tênis Passo,Loja física,3,55.65,166.95,69.78,97.17,3.1
2024-01-20,Norte,Casa e Decoração,Luminária Sol,Marketplace,4,319.65,1278.6,918.94,359.66,3.1
2024-01-20,Sudeste,Eletrônicos,Tablet Nimbus,Loja física,6,2278.85,13673.1,12181.75,1491.35,3.9
2024-01-20,Nordeste,Vestuário,Jaqueta Norte,E-commerce,2,179.87,359.74,194.63,165.11,3.9
2024-01-20,Sudeste,Vestuário,Tênis Passo,Marketplace,4,170.28,681.12,411.05,270.07,
2024-01-20,Nordeste,Casa e Decoração,Tapete Onda,E-commerce,1,427.46,427.46,253.36,174.1,4.3
2024-01-20,Sudeste,Casa e Decoração,Cadeira Foco,E-commerce,1,336.72,336.72,226.09,110.63,4.1
2024-01-22,Sul,Eletrônicos,Tablet Nimbus,Loja física,2,1658.68,3317.36,2653.63,663.73,3.6
2024-01-22,Norte,Casa e Decoração,Vaso Raiz,Loja física,2,427.09,854.18,477.84,376.34,3.9
2024-01-22,Nordeste,Casa e Decoração,Tapete Onda,Loja física,1,339.41,339.41,203.78,135.63,4.2
2024-01-22,Centro-Oeste,Alimentos,Chá Manhã,Marketplace,1,69.67,69.67,59.28,10.39,2.4
2024-01-22,Centro-Oeste,Eletrônicos,Fone Pulse,Marketplace,3,1889.45,5668.35,5066.13,602.22,4.3
2024-01-23,Sul,Esporte e Lazer,Prancha Maré,E-commerce,2,245.41,490.82,265.23,225.59,5.0
2024-01-23,Sul,Alimentos,Chá Manhã,E-commerce,2,48.07,96.14,65.88,30.26,3.5
2024-01-23,Norte,Vestuário,Tênis Passo,Marketplace,4,191.47,765.88,428.05,337.83,3.9
2024-01-23,Sudeste,Vestuário,Calça Trilha,Marketplace,3,209.89,629.67,389.47,240.2,4.1
2024-01-23,Nordeste,Eletrônicos,Tablet Nimbus,E-commerce,3,2296.83,6890.49,5882.93,1007.56,3.7
2024-01-23,Sul,Vestuário,Camiseta Base,E-commerce,2,155.22,310.44,171.19,139.25,3.9
2024-01-24,Sul,Eletrônicos,Monitor Vista,E-commerce,2,1767.74,3535.48,2871.99,663.49,3.8
2024-01-24,Nordeste,Esporte e Lazer,Bicicleta Rota,E-commerce,1,321.18,321.18,197.02,124.16,4.8
2024-01-24,Sul,Eletrônicos,Monitor Vista,Marketplace,3,1969.94,5909.82,5114.09,795.73,4.1
2024-01-24,Nordeste,Alimentos,Granola Cheia,E-commerce,7,18.46,129.22,93.9,35.32,3.8
2024-01-24,Norte,Casa e Decoração,Tapete Onda,E-commerce,2,322.73,645.46,346.81,298.65,3.6
2024-01-24,Sudeste,Vestuário,Calça Trilha,Marketplace,2,315.73,631.46,326.01,305.45,3.7
2024-01-26,Nordeste,Alimentos,Azeite Oliva,E-commerce,3,30.6,91.8,69.05,22.75,3.0
2024-01-26,Sudeste,Alimentos,Café Serra,E-commerce,1,57.12,57.12,44.29,12.83,3.7
2024-01-26,Sudeste,Esporte e Lazer,Bicicleta Rota,E-commerce,2,487.34,974.68,599.37,375.31,4.0
2024-01-26,Nordeste,Eletrônicos,Monitor Vista,E-commerce,3,1925.28,5775.84,4885.8,890.04,2.8
2024-01-26,Nordeste,Esporte e Lazer,Barraca Cume,Loja física,3,184.42,553.26,376.99,176.27,4.4
2024-01-26,Sudeste,Esporte e Lazer,Prancha Maré,E-commerce,2,466.68,933.36,588.53,344.83,5.0
2024-01-27,Nordeste,Casa e Decoração,Luminária Sol,E-commerce,5,255.86,1279.3,762.66,516.64,3.5
